facility_name,srn,epa_class,properties.address_full,lat,long,geometry.coordinates,properties.violationCount,2018,2019,2020,2021,2022,2023,type,geometry.type,properties.group_id,properties.group_name,properties.color,properties.most_recent_vn,properties.violation_article,properties.facility_name,properties.srn
"ADVANCE PLATING & FINISHING, INC.",A2575,MINOR,"840 Cottage Grove, Grand Rapids, MI 49507",42.9348979,-85.6472604,"[-85.6472604,42.9348979]",1,0.0,0.0,0.0,0.0,0.0,1.0,Feature,Point,4,True Minor Source,#FFBD00,2023-07-18,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/A2575/A2575_VN_20230718.pdf' target='_blank'>July 18, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to obtain a Permit to Install.</li></ul></p><br>","Advance Plating & Finishing, Inc.",A2575
"DETROIT WILBERT CREMATION SERVICES EAST, LLC",N7548,MINOR,"44481 Groesbeck Hwy, Clinton Twp, MI 48035",42.5690224,-82.91242749999999,"[-82.91242749999999,42.5690224]",1,0.0,0.0,0.0,0.0,0.0,1.0,Feature,Point,4,True Minor Source,#FFBD00,2023-07-17,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N7548/N7548_VN_20230717.pdf' target='_blank'>July 17, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The permittee combusted waste in EUPETCREMATORY below the minimum temperature of 1600°F in the secondary combustion chamber.</li><li>The permittee did not keep combustion air adjusted according to the I manufacturer’s instructions.</li></ul></p><br>","Detroit Wilbert Cremation Services East, LLC",N7548
COFFEE BEANERY LTD,N2491,MINOR,"3429 Pierson Place, Flushing, MI 48433",43.0581659,-83.78472239999999,"[-83.78472239999999,43.0581659]",1,0.0,0.0,0.0,0.0,0.0,1.0,Feature,Point,4,True Minor Source,#FFBD00,2023-07-13,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N2491/N2491_VN_20230713.pdf' target='_blank'>July 13, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Replacement of original coffee roaster with a new unit, without first obtaining a permit to install.</li></ul></p><br>",Coffee Beanery Ltd,N2491
LEADING EDGE FIBERGLASS POOL,N7982,SM OPT OUT,"3090 W Cook Rd, Grand Blanc, MI 48439",42.89972909999999,-83.732687,"[-83.732687,42.89972909999999]",3,0.0,0.0,0.0,0.0,0.0,3.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2023-08-04,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N7982/N7982_VN_20230804.pdf' target='_blank'>August 4, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Please see document.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N7982/N7982_VN_20230713.pdf' target='_blank'>July 13, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>In May 2023, emissions of VOC were 10.1 tpy (based on a 12-month rolling time period) exceeding the 10.0 tpy (based on a 12-month rolling time period) VOC emission limit in SC I.1.</li></ul></p><br>",Leading Edge Fiberglass Pool,N7982
INTEVA PRODUCTS ADRIAN OPERATIONS,B6027,MAJOR,"1450 E. Beecher St, Adrian, MI 49221",41.8887155,-84.01515189999999,"[-84.01515189999999,41.8887155]",3,0.0,1.0,1.0,0.0,0.0,1.0,Feature,Point,2,Major Source,#FF0037,2023-07-12,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/B6027/B6027_VN_20230712.pdf' target='_blank'>July 12, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Unable to produce records to show compliance with the maintenance/tune-up requirements under 40 CFR Part 63, Subpart DDDDD.</li><li>Failure to submit tune-up compliance reports as specified in 40 CFR Part 63, Subpart DDDDD</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B6027/B6027_VN_20201002.pdf' target='_blank'>October 2, 2020</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>At this time, the AQD has not received Inteva's semi-annual monitoring and deviation report for January 1 - June 30, 2020, which was required to be postmarked or received by the AQD district office by September 15, 2020.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B6027/B6027_VN_20190924.pdf' target='_blank'>September 24, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Please see document.</li></ul></p><br>",Inteva Products Adrian Operations,B6027
COLLISION CRAFTSMEN,N5600,SM OPT OUT,"14080 23 Mile Rd, Shelby Twp, MI 48315",42.6700658,-82.9892141,"[-82.9892141,42.6700658]",3,0.0,0.0,0.0,0.0,1.0,2.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2023-07-12,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N5600/N5600_VN_20230712.pdf' target='_blank'>July 12, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Air Quality Division (AQD), notified Collision Craftsmen of the requirement to submit a 2022 air pollution report, with the required submittal date of March 15, 2023. At this time, we still have not received Collision Craftsmen’s MAERS reporting forms and SCT.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N5600/N5600_VN_20230307.pdf' target='_blank'>March 7, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The facility did not record the gallons of each purge/clean-up solvent used per month.</li><li>The facility did not record the VOC monthly mass emission rate in tons for each coating line which is to also include all purge/cleanup materials used.</li><li>The facility did not record the VOC monthly mass emission rate in tons to determine the annual emission rate for each coating line per 12- month rolling time period which is to include all purge/clean- up materials used.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N5600/N5600_VN_20220505.pdf' target='_blank'>May 5, 2022</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to submit 2021 air pollution report</li></ul></p><br>",Collision Craftsmen,N5600
WEBER SAND & GRAVEL INC.-NORTH BRANCH,P0539,MINOR,"4242 Fish Lake Road, North Branch, MI 48461",43.1550239,-83.25215820000001,"[-83.25215820000001,43.1550239]",2,0.0,0.0,1.0,0.0,0.0,1.0,Feature,Point,4,True Minor Source,#FFBD00,2023-07-12,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/P0539/P0539_VN_20230712.pdf' target='_blank'>July 12, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><span class='location'><span style='font-weight:700'>Location:</span> 8134 W. County Line Road, New Lothrop, Michigan</span></p><p><ul><li>The plant was operating without the nuisance minimization plan for fugitive dust specified in Appendix B being followed.</li><li>Specified control devices in Appendix A for EUPROCESS were not being operated in a satifactory manner.</li><li>The plant roadways and yard were being used without the nuisance minimization plan for fugitive dust in Appendix B being followed.</li><li>Storage pile for raw materials was used without the nuisance minimization plan for fugitive dust in Appendix B being followed.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/P0539/P0539_VN_20200409.pdf' target='_blank'>April 9, 2020</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Water not available for the crusher for dust suppression when opacity was high, during startup</li></ul></p><br>",Weber Sand & Gravel Inc.-North Branch,P0539
"ALTA CREMATION & SERVICES, INC.",P1145,,"13425 Capital Street, Oak Park, MI 48076",42.4544875,-83.1806008,"[-83.1806008,42.4544875]",2,0.0,0.0,0.0,0.0,1.0,1.0,Feature,Point,5,Unknown,#DCDCDC,2023-07-11,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/P1145/P1145_VN_20230711.pdf' target='_blank'>July 11, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>On June 1, 2023, EUCREMATORY1 automatically shut down after running for four hours. Two hours later, Kenneth checked inside the primary combustion chamber and noticed the waste was not fully combusted and turned the unit back on. Since the charge was not fully combusted by the time the machine auto shut off, waste was still combusting from residual heat while the secondary combustion chamber and afterburner were off and not controlling emissions from the cremation system.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/P1145/P1145_VN_20220907.pdf' target='_blank'>September 7, 2022</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>From August 29 through August 31, 2022, EUCREMATORY1 was operated at 1575°F, which is 25°F less than the permitted minimum of 1600°F.</li><li>A mechanical malfunction of the Primary Combustion Chamber (PCC) rear door causes it to occasionally open about a half inch, which requires the operator to manually close it again. The partially open PCC rear door introduces cooler air into the exhaust stream and may cause the Secondary Combustion Chamber temperature to drop below 1600°F. This may affect the proper operation of the control to the emissions from cremation system.</li><li>The permittee asserts that a temperature chart recorder calibration error has caused the recording of false low temperatures in the Secondary Combustion Chamber.</li><li>The permittee failed to record the duration of the burn of each cremation on all cremation logs. The permittee failed to record the date, and duration of the burn of each cremation on all temperature charts.</li></ul></p><br>","Alta Cremation & Services, Inc.",P1145
EASTERN MI UNIVERSITY,H5877,SM OPT OUT,"812 Oakwood, Ypsilanti, MI 48197",42.2505919,-83.629329,"[-83.629329,42.2505919]",1,0.0,0.0,0.0,0.0,0.0,1.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2023-07-11,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/H5877/H5877_VN_20230711.pdf' target='_blank'>July 11, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><span class='location'><span style='font-weight:700'>Location:</span> 875 Ann Street</span></p><p><ul><li>EMU last conducted required nitrogen oxide (NOx) testing on May 22, 2018. At a minimum, stack testing is required every 2 years unless they have written/approved parameter monitoring plan.</li></ul></p><br>",Eastern MI University,H5877
DTE ELECTRIC COMPANY - MONROE POWER PLANT,B2816,MAJOR,"3500 East Front Street, Monroe, MI 48161",41.8925531,-83.3462675,"[-83.3462675,41.8925531]",6,1.0,0.0,1.0,3.0,0.0,1.0,Feature,Point,2,Major Source,#FF0037,2023-07-11,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/B2816/B2816_VN_20230711.pdf' target='_blank'>July 11, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Due to an abnormal condition on June 9, 2023, Unit 2 exceeded its SO 2 emission limit of 0.107 lb/MMBtu based on a 24 rolling average as determined each hour the boiler operates for 20 hours.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B2816/B2816_VN_20210824.pdf' target='_blank'>August 24, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Second Quarter 2021 Particulate Matter (PM) monitor downtime was 24.6% of the operating time for the quarter</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B2816/B2816_VN_20210212.pdf' target='_blank'>February 12, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Fourth quarter 2020 SO , 2 NO , CO, CO monitor x 2 downtime was 9.9% of the operating time for the quarter.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B2816/B2816_VN_20210211.pdf' target='_blank'>February 11, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Malfunctioning mist eliminator trays and wash nozzles caused by pluggage in the flue gas desulfurization control device caused the unit's SO , NOx, 2 CO, and CO CEMS to 2 malfunction for 190 consecutive hours.</li><li>Failed to update malfunction abatement plan (MAP) 45 days after determining cause of FGD malnction.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B2816/B2816_VN_20200515.pdf' target='_blank'>May 15, 2020</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>First quarter 2020 Particulate Matter (PM) monitor downtime was 67.0% of the operating time for the quarter</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B2816/B2816_VN_20180329.pdf' target='_blank'>March 29, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>DTE failed to do required annual PM2.s stack test on each unit.</li></ul></p><br>",DTE Electric Company - Monroe Power Plant,B2816
"ARKEMA, INC.",E4569,SM OPT OUT,"1415 Steele Avenue, S.W., Grand Rapids, MI 49507",42.9376607,-85.6761537,"[-85.6761537,42.9376607]",1,0.0,0.0,0.0,0.0,0.0,1.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2023-07-07,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/E4569/E4569_VN_20230707.pdf' target='_blank'>July 7, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to maintain temperature of regenerative thermal oxidizer above 1,500°F.</li><li>Failure to properly maintain records of the loading rack condenser.</li></ul></p><br>","Arkema, Inc.",E4569
WOODLAND MEADOWS RDF,M4449,MAJOR,"5900 Hannan, Wayne, MI 48184",42.2643778,-83.4276252,"[-83.4276252,42.2643778]",2,0.0,0.0,0.0,0.0,0.0,2.0,Feature,Point,2,Major Source,#FF0037,2023-07-07,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/M4449/M4449_VN_20230707.pdf' target='_blank'>July 7, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Strong (Level 4 and 5), offensive garbage and wastewater treatment sludge- type odors observed emitting from the facility and impacting nearby residential areas.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/M4449/M4449_VN_20230509.pdf' target='_blank'>May 9, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Moderate to strong (Level 3 and 4), offensive garbage and wastewater treatment sludge- type odors observed emitting from the facility and impacting nearby residential areas.</li></ul></p><br>",Woodland Meadows Rdf,M4449
"POET BIOREFINING - CARO, LLC",N6996,MAJOR,"1551 Empire Drive, Caro, MI 48723",43.472016,-83.4106706,"[-83.4106706,43.472016]",5,0.0,0.0,0.0,0.0,1.0,4.0,Feature,Point,2,Major Source,#FF0037,2023-09-13 00:00:00,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N6996/N6996_VN_20230913.pdf' target='_blank'>September 13, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Exceeded VOC limit of 9.00 lb/hr. Estimated VOC emissions were 15.11 lbs/hr. The event lasted for 21.25 hours producing 0.06 tons of excess VOC emissions.</li><li>Permit restricts feeding materials to either dryer in FGDDGSDRYERS unless the thermal oxidizer is installed, maintained, and operated in a satisfactory manner. Satisfactory manner includes IV.2.(a), achieving a 95.0% by weight destruction efficiency.</li><li>Destruction efficiency is a product of achieving appropriate residence time in the combustion chamber. The hole in the combustion chamber did not allow for achieving the appropriate residence time.</li><li>Permit restricts feeding materials to either dryer in FGDDGSDRYERS unless the thermal oxidizer is installed, maintained, and operated in a satisfactory manner. Satisfactory operation of the thermal oxidizer (CE010) includes maintaining it according to the MAP. The MAP requires the facility to perform daily checks on the combustion chamber for leaks that may cause air infiltration. Also, there is a requirement to perform a semi-annual inspection of the refractory within the thermal oxidizer and throat cone for badly cracked or broken refractory. Records associated with these inspections were requested on August 31, 2023, and were not received.</li><li>The thermal oxidizer did not operate in a satisfactory manner from August 8, 2023, 19:15 to August 9, 2023, 16:30.</li><li>The MAP requires the facility to perform daily checks on the combustion chamber for leaks that may cause air infiltration. Also, there is a requirement to perform a semi-annual</li></ul></p><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N6996/N6996_VN_20230701.pdf' target='_blank'>July 1, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Exceeded VOC limit of 19.66 lb/hr. Estimated VOC emissions were 30.09 lb/hr. On January 9, 2023, Scrubber 2 malfunctioned for 4.38 hours emitting 131.88 lbs. of VOCs.</li><li>Permit restricts operation of FGFERM&DIST unless one of the scrubbers is installed, maintained, and operated in a satisfactory manner. Scrubber 1 was taken offline and emissions were vented to Scrubber 2, which had been inoperable since April 26, 2022, and yet was operated on January 9, 2023.</li><li>In the event that both associated scrubbers (CE004 and CE014) are unavailable due to maintenance or other</li><li>operational reasons, the equipment in FGFERM&DIST is vented to the RTO (CE012). The process was not vented to the RTO when both scrubbers were offline. The plant does not have the ability to vent these emissions to the RTO.</li><li>Plant did not achieve a minimum VOC control efficiency of 97.0 percent across the scrubbers (CE004 and CE014).</li><li>Notification of emissions of any air contaminant continuing for more than two hours in excess of an applicable standard or limitation, as required in Rule 912, required not later than two business days after the start-up, shutdown, or discovery of the abnormal conditions or malfunction. Written reports required within 10 days after the event occurred, or within 30 days of discovery of the abnormal conditions, whichever is first. Exceedance occurred on January 9, 2023. AQD notified by phone on January 27, 2023. Written report received April 3, 2023.</li><li>Rule 910 requires that an air-cleaning device shall be installed, maintained, and operated in a</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N6996/N6996_VN_20230411.pdf' target='_blank'>April 11, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Exceeded VOC limit of 19.66 lb/hr. Estimated VOC emissions were 30.09 lb/hr. On January 9, 2023, Scrubber 2 malfunctioned for 4.38 hours emitting 131.88 lbs of VOCs.</li><li>Permit restricts operation of FGFERM&DIST unless one of the scrubbers is installed, maintained, and operated in a satisfactory manner. Scrubber 1 was taken offline and emissions were vented to Scrubber 2,</li><li>which had been inoperable since April 26, 2022, and yet was operated on January 9, 2023.</li><li>In the event that both associated scrubbers (CE004 and CE014) are unavailable due to maintenance or other operational reasons, the equipment in FGFERM&DIST is vented to the RTO (CE012). The process was not vented to the RTO when both scrubbers were offline. The plant does not have the ability to vent these emissions to the RTO.</li><li>Plant did not achieve a minimum VOC control efficiency of 97.0 percent across the scrubbers (CE004 and CE014).</li><li>Notification of emissions of any air contaminant continuing for more than two hours in excess of an applicable standard or limitation, as required in Rule 912, required not later than two business days after the start-up, shutdown, or discovery of the abnormal conditions or malfunction. Written reports required within 10 days after the event occurred, or within 30 days of discovery of the abnormal conditions, whichever is first.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N6996/N6996_VN_20230210.pdf' target='_blank'>February 10, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Maintenance on Hammermill #5 baghouse could not be verified.</li><li>Thermal oxidizer below required 1468F. 04-08-2022 6:00pm temp was 1461.3F 08-25-2022 12:00am temp was1439.5F 08-25-2022 1:00am 1370.8F</li><li>10-12-2022 10:00am 1289.5F 10-12-2022 11:00am 1291.2F Regenerative thermal oxidizer below 1643F. 10-12-2022 10:00am 1436.9F 10-12-2022 11:00am 1516.5F</li><li>Semi-annual report did not include deviations of thermal oxidizer or regenerative thermal oxidizer temperatures.</li><li>Excursion not reported for 04-28-2022 temperature falling below normal operating values.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N6996/N6996_VN_20220511.pdf' target='_blank'>May 11, 2022</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>VOC emission exceedance while venting the scrubber</li><li>Acetaldehyde emission exceedance</li></ul></p><br>","Poet Biorefining - Caro, LLC",N6996
PADNOS MANUFACTURING,B1982,SM OPT OUT,"185 W 8th St, Holland, MI 49423",42.79047569999999,-86.1161533,"[-86.1161533,42.79047569999999]",1,0.0,0.0,0.0,0.0,0.0,1.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2023-06-30,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/B1982/B1982_VN_20230630.pdf' target='_blank'>June 30, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to maintain Malfunction Abatement Plan.</li></ul></p><br>",Padnos Manufacturing,B1982
BURTON EXCAVATING,N2837,MINOR,"1396 East Easterday Ave, Sault S Marie, MI 49783",46.4914879,-84.33618799999999,"[-84.33618799999999,46.4914879]",1,0.0,0.0,0.0,0.0,0.0,1.0,Feature,Point,4,True Minor Source,#FFBD00,2023-06-30,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N2837/N2837_VN_20230630.pdf' target='_blank'>June 30, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><span class='location'><span style='font-weight:700'>Location:</span> Radar Road Pit, Sault Ste. Marie, Michigan</span></p><p><ul><li>Source has been operating crushing equipment without a Permit to Install (PTI)</li></ul></p><br>",Burton Excavating,N2837
LAKELAND MEDICAL CENTER (FORMER MEMORIAL HOSPITAL),C5704,SM OPT OUT,"1234 Napier Ave, Saint Joseph, MI 49085",42.0886172,-86.4783353,"[-86.4783353,42.0886172]",1,0.0,0.0,0.0,0.0,0.0,1.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2023-06-29,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/C5704/C5704_VN_20230629.pdf' target='_blank'>June 29, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Process equipment requires PTI</li></ul></p><br>",Lakeland Medical Center (Former Memorial Hospital),C5704
